rank,asin,url,title,brand,price,price_text,rating,review_count,date_first_available_raw,bsr_rank_text,style_category,color_variant_count,date_parsed,year,month,month_name,style
19,B0B8D279W3,https://www.amazon.com/dp/B0B8D279W3,PRETTYGARDEN Women's Chunky Knit Open Front Sweater Long Sleeve Button Loose Short Cardigan Outerwear Coats,PRETTYGARDEN,63.5,"$29
98",4.4,4159,"August 27, 2022","#1,699 in Clothing",Cardigan,15,2022-08-27,2022,8,August,Cardigan
20,B0G1BK1J3B,https://www.amazon.com/dp/B0G1BK1J3B,Sampeel Womens Short Sleeve Sweater Mock Neck Summer Top Dressy Casual Basic Knit Pullover Shirt,Sampeel,62.0,"$25
99",4.2,86,"January 19, 2026","#1,395 in Clothing",Turtleneck / Mock Neck,11,2026-01-19,2026,1,January,Turtleneck/Mock Neck
21,B0C748SWT3,https://www.amazon.com/dp/B0C748SWT3,Imily Bela Women's Cable Short Sleeve Sweaters Tops Solid Lapel V Neck Knit Casual Soft Pullover Shirt,Imily Bela,35.0,"$24
46",4.3,2267,"June 5, 2023","#1,638 in Clothing",Pullover / Crew Neck,12,2023-06-05,2023,6,June,V-Neck Sweater
22,B0FZJRXZP1,https://www.amazon.com/dp/B0FZJRXZP1,SHEWIN Womens Tops Crewneck Short Sleeve Sweater Pullover Knit Striped Shirt Spring Outfits for Women 2026,SHEWIN,58.5,"$19
98",4.5,84,"November 4, 2025","#1,482 in Clothing",Pullover / Crew Neck,15,2025-11-04,2025,11,November,Pullover/Crew Neck
23,B0FD9P1HYQ,https://www.amazon.com/dp/B0FD9P1HYQ,Yeokou Womens Short Sleeve Sweater Round Neck Ruffled Hem Knit Crochet Pullover Summer Fall Casual Top Blouse,Yeokou,17.5,"$26
09",4.4,385,"June 16, 2025","#1,601 in Clothing",Pullover / Crew Neck,15,2025-06-16,2025,6,June,Pullover/Crew Neck
24,B0DQ7XXXPD,https://www.amazon.com/dp/B0DQ7XXXPD,QUALFORT Women's 100% Cotton Lightweight Cardigans Long Sleeve Knitted Button Down Sweater,QUALFORT,59.0,"$19
99",4.3,771,"December 12, 2024","#1,704 in Clothing",Cardigan,15,2024-12-12,2024,12,December,Cardigan
25,B0FD9V2D85,https://www.amazon.com/dp/B0FD9V2D85,EVALESS Cardigan Sweaters for Women Wool Blend Lightweight Trendy Long Sleeve Lapel Collar Button Down Sweater Cardigans,EVALESS,58.5,"$19
98",4.3,447,"July 7, 2025","#1,718 in Clothing",Cardigan,15,2025-07-07,2025,7,July,Cardigan
26,B0DJSN933Q,https://www.amazon.com/dp/B0DJSN933Q,WIHOLL Women's Puff Short Sleeve Sweater 2026 Spring Summer Tops Trendy Business Causal Outfits Work Blouses Clothes,WIHOLL,55.5,"$12
99",4.3,1911,"December 8, 2024",#997 in Clothing,Other Sweater,14,2024-12-08,2024,12,December,Short Sleeve Sweater
27,B0DLT3VC43,https://www.amazon.com/dp/B0DLT3VC43,ANRABESS Womens Short Sleeve Sweaters Wool Blend Crew Neck Sweater Shirts Business Casual Work Tops 2026 Summer Outfits,ANRABESS,59.0,"$19
99",4.4,907,"November 2, 2024","#1,823 in Clothing",Pullover / Crew Neck,15,2024-11-02,2024,11,November,Pullover/Crew Neck
28,B08T7P3SM7,https://www.amazon.com/dp/B08T7P3SM7,Amazon Essentials Women's Long-Sleeve Lightweight Crewneck Sweater (Available in Plus Size),Amazon Essentials,11.0,"$12
10",4.4,25352,"February 1, 2024",,Pullover / Crew Neck,15,2024-02-01,2024,2,February,Pullover/Crew Neck
